T,P,L,S,M,T,P,L,S,M,T,P,L,S,M
1432,34,21,50,50409,1416,31,0,50,50392,1350,37,1,76,50329
42,32,20,47,50458,26,38,26,48,50445,1426,86,0,94,50429
89,32,19,48,50505,74,28,25,47,50488,1426,86,0,94,50429
137,43,18,54,50559,121,38,24,52,50540,80,74,22,74,50517
191,34,17,50,50608,173,39,23,54,50593,154,49,21,56,50579
241,38,16,75,50660,227,41,22,50,50648,210,34,20,49,50627
316,81,15,80,50757,322,33,20,60,50739,307,30,18,47,50722
396,46,14,54,50819,382,56,19,46,50810,400,29,16,45,50815
450,29,13,73,50865,428,24,18,48,50840,445,30,15,49,50860
523,91,12,287,50969,528,36,16,48,50946,494,43,14,59,50916
810,45,11,65,51233,799,31,11,53,51215,765,48,9,67,51189
875,53,10,57,51302,852,44,10,53,51274,832,55,8,61,51260
932,29,9,50,51347,905,34,9,53,51322,893,34,7,80,51310
982,36,8,47,51400,958,43,8,54,51380,893,34,7,80,51310
1029,29,7,49,51444,1012,36,7,52,51430,973,97,6,69,51422
1078,36,6,49,51496,1064,38,6,47,51483,1042,33,5,53,51459
1127,31,5,54,51543,1111,30,5,44,51526,1095,40,4,47,51515
1181,46,4,60,51604,1155,30,4,58,51570,1142,41,3,60,51563
1241,47,3,57,51665,1213,56,3,66,51641,1202,55,2,59,51630
1298,38,2,47,51717,1279,48,2,49,51703,1261,34,1,102,51678
1345,28,1,47,51759,1328,23,1,47,51740,1261,34,1,102,51678
1392,40,0,56,51812,1375,43,0,83,51797,1261,34,1,102,51678
8,45,22,56,51871,1375,43,0,83,51797,1363,143,0,156,51835
64,40,21,48,51924,18,95,24,79,51906,1363,143,0,156,51835
112,40,20,48,51972,97,31,23,47,51953,79,28,23,46,51933
160,28,19,43,52014,144,32,22,47,52000,125,37,22,51,51984
203,32,18,60,52059,191,29,21,45,52046,176,36,21,47,52034
263,60,17,61,52133,236,31,20,53,52092,262,25,19,46,52115
324,36,16,50,52182,289,43,19,50,52151,308,40,18,48,52168
374,38,15,47,52233,339,29,18,47,52194,356,30,17,47,52211
421,30,14,50,52276,386,38,17,54,52245,403,38,16,47,52262
471,44,13,56,52333,440,44,16,55,52302,450,31,15,55,52306
527,40,12,52,52387,495,40,15,51,52355,505,53,14,81,52372
579,34,11,53,52436,546,35,14,49,52404,505,53,14,81,52372
632,47,10,61,52496,595,33,13,51,52452,586,86,13,76,52469
693,47,9,87,52557,646,41,12,71,52507,662,38,12,69,52521
780,98,8,86,52669,782,27,10,47,52636,798,33,10,51,52655
866,45,7,55,52729,829,37,9,57,52688,849,52,9,55,52715
921,39,6,51,52781,886,42,8,57,52747,904,31,8,52,52760
972,35,5,58,52830,943,40,7,55,52803,956,41,7,55,52817
1030,52,4,61,52896,998,38,6,59,52857,1011,36,6,57,52869
1091,42,3,62,52952,1057,49,5,53,52922,1068,47,5,57,52932
1153,54,2,90,53020,1158,41,3,65,53019,1125,37,4,62,52984
1243,98,1,95,53132,1223,58,2,74,53092,1245,35,2,68,53103
1338,61,0,197,53209,1297,64,1,72,53169,1313,72,1,77,53189
