T,P,L,S,M
143,31,14,45,26079
188,34,13,46,26125
234,32,12,47,26170
281,37,11,49,26220
330,34,10,50,26267
380,41,9,48,26321
428,29,8,41,26363
469,25,7,63,26402
532,75,6,78,26490
532,75,6,78,26490
668,36,4,57,26606
725,52,3,79,26671
725,52,3,79,26671
804,81,2,74,26765
929,27,0,737,26863
929,27,0,737,26863
929,27,0,737,26863
929,27,0,737,26863
929,27,0,737,26863
929,27,0,737,26863
929,27,0,737,26863
929,27,0,737,26863
929,27,0,737,26863
929,27,0,737,26863
929,27,0,737,26863
929,27,0,737,26863
929,27,0,737,26863
929,27,0,737,26863
226,55,21,56,27614
282,28,20,51,27656
333,44,19,66,27715
399,61,18,62,27790
461,33,17,61,27838
585,43,15,54,27967
585,43,15,54,27967
692,41,13,59,28073
751,51,12,58,28137
809,39,11,54,28189
863,43,10,54,28245
1340,71,1,96,28736
1436,88,0,79,28840
75,43,24,61,28897
136,50,23,57,28961
193,39,22,48,29013
241,26,21,50,29054
291,47,20,53,29115
344,33,19,50,29161
394,39,18,53,29214
447,38,17,50,29266
497,34,16,62,29314
497,34,16,62,29314
559,64,15,64,29391
623,30,14,61,29438
684,60,13,59,29514
743,33,12,48,29560
743,33,12,48,29560
837,34,10,42,29654
879,36,9,46,29697
966,26,7,53,29779
1231,41,2,78,30052
1231,41,2,78,30052
1309,90,1,73,30154
1382,31,0,46,30198
1428,35,25,51,30246
39,38,24,49,30298
88,33,23,45,30345
133,31,22,57,30389
190,54,21,56,30457
246,32,20,45,30502
291,39,19,53,30551
344,40,18,49,30604
393,31,17,53,30649
446,48,16,53,30710
499,30,15,105,30754
499,30,15,105,30754
711,29,13,51,30966
762,47,12,55,31026
817,34,11,47,31074
864,33,10,44,31121
908,29,9,45,31163
953,32,8,46,31209
1043,31,6,60,31299
1043,31,6,60,31299
1103,61,5,71,31374
1174,52,4,58,31440
1232,39,3,49,31492
1281,33,2,50,31538
1385,38,0,48,31644
1433,30,28,46,31688
39,37,27,43,31738
82,23,26,60,31774
82,23,26,60,31774
142,68,25,66,31856
208,38,24,49,31907
353,29,21,46,32048
399,34,20,49,32096
448,40,19,56,32148
640,34,15,54,32337
694,47,14,50,32398
744,26,13,40,32437
784,27,12,51,32478
835,47,11,74,32539
909,77,10,73,32628
982,39,9,53,32682
982,39,9,53,32682
1077,33,7,49,32774
1077,33,7,49,32774
1126,35,6,48,32824
1174,35,5,47,32872
1221,30,4,42,32916
1304,24,2,48,32996
1352,42,1,58,33053
22,28,23,84,33156
22,28,23,84,33156
106,110,22,98,33281
266,43,20,70,33408
266,43,20,70,33408
336,66,19,70,33489
502,33,16,54,33639
556,51,15,57,33702
613,36,14,48,33751
661,34,13,55,33798
716,48,12,87,33860
716,48,12,87,33860
803,98,11,80,33972
883,36,10,48,34021
931,35,9,48,34069
979,33,8,48,34116
1027,36,7,69,34165
1027,36,7,69,34165
1096,77,6,67,34255
1207,32,4,50,34343
1257,38,3,53,34396
1310,38,2,55,34449
1365,43,1,51,34507
1416,38,0,48,34555
24,31,24,62,34600
24,31,24,62,34600
86,62,23,64,34677
150,40,22,49,34730
242,29,20,48,34817
242,29,20,48,34817
336,25,18,49,34909
336,25,18,49,34909
385,42,17,49,34966
513,34,14,116,35090
513,34,14,116,35090
629,173,13,122,35276
751,42,12,56,35332
807,43,11,48,35389
855,28,10,56,35429
911,61,9,62,35502
973,34,8,52,35550
1025,42,7,50,35606
1075,34,6,46,35652
1121,30,5,49,35696
1170,41,4,57,35751
1280,34,2,51,35857
1331,40,1,52,35911
1383,37,0,52,35962
1435,40,24,52,36015
95,34,22,50,36112
145,42,21,73,36166
145,42,21,73,36166
218,78,20,70,36257
288,39,19,56,36308
344,42,18,81,36365
344,42,18,81,36365
425,94,17,98,36472
523,77,16,73,36562
523,77,16,73,36562
651,39,14,51,36671
702,34,13,53,36719
755,42,12,64,36776
819,56,11,63,36847
882,41,10,50,36903
932,31,9,43,36948
975,26,8,39,36988
1014,25,7,49,37027
1063,43,6,60,37085
1123,51,5,54,37149
1177,29,4,51,37192
1228,46,3,79,37251
1228,46,3,79,37251
1307,86,2,70,37350
1307,86,2,70,37350
1425,36,0,56,37443
41,52,23,79,37507
41,52,23,79,37507
120,81,22,77,37601
243,29,20,48,37698
243,29,20,48,37698
291,42,19,51,37752
